CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
"This data table begins with column headers on row 5 and data cells are A-6 through F-2715      
",,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,71551,GLOBL,96,52670.91,41146.9
RADIOLOGY,71552,TOTAL,5769,1974344.52,1547681.39
RADIOLOGY,71552,26,3368,395356.45,306643.38
RADIOLOGY,71552,TC,299,157938.86,124733.04
RADIOLOGY,71552,GLOBL,2102,1421049.21,1116304.97
RADIOLOGY,71555,TOTAL,7007,1796347.06,1405580.27
RADIOLOGY,71555,26,4830,455802.19,351241.58
RADIOLOGY,71555,TC,203,102047.66,80755.25
RADIOLOGY,71555,GLOBL,1974,1238497.21,973583.44
RADIOLOGY,72010,TOTAL,41416,2472770.86,1863137.14
RADIOLOGY,72010,26,7289,166677.44,126390.81
RADIOLOGY,72010,TC,2932,130782.65,98425.43
RADIOLOGY,72010,GLOBL,31195,2175310.77,1638320.9
RADIOLOGY,72020,TOTAL,232553,2663809.34,2045113.28
RADIOLOGY,72020,26,176546,1421776.15,1095526.04
RADIOLOGY,72020,TC,13019,225064.93,177081.07
RADIOLOGY,72020,GLOBL,42988,1016968.26,772506.17
RADIOLOGY,72040,TOTAL,611520,13797264.92,10180163.32
RADIOLOGY,72040,26,323518,3769537.13,2819194.67
RADIOLOGY,72040,TC,40324,973916.51,704942.64
RADIOLOGY,72040,GLOBL,247678,9053811.28,6656026.01
RADIOLOGY,72050,TOTAL,484794,13868118.81,10031194.01
RADIOLOGY,72050,26,298346,4783453.28,3491205.1
RADIOLOGY,72050,TC,29769,998474.49,701228.86
RADIOLOGY,72050,GLOBL,156679,8086191.04,5838760.05
RADIOLOGY,72052,TOTAL,104153,4311673,3179715.24
RADIOLOGY,72052,26,49678,929497.33,688634.05
RADIOLOGY,72052,TC,8119,353328.34,253512.29
RADIOLOGY,72052,GLOBL,46356,3028847.33,2237568.9
RADIOLOGY,72069,TOTAL,16864,365739.27,269831.75
RADIOLOGY,72069,26,9352,109223.53,81272.01
RADIOLOGY,72069,TC,716,16084.77,11235.65
RADIOLOGY,72069,GLOBL,6796,240430.97,177324.09
RADIOLOGY,72070,TOTAL,365449,7256352.95,5402308.21
RADIOLOGY,72070,26,206325,2343829.72,1760833.29
RADIOLOGY,72070,TC,27126,560099.27,411036.43
RADIOLOGY,72070,GLOBL,131998,4352423.96,3230438.49
RADIOLOGY,72072,TOTAL,221438,3700945.05,2706201.25
RADIOLOGY,72072,26,168484,1896099.25,1410290.54
RADIOLOGY,72072,TC,11858,290528.99,205432.75
RADIOLOGY,72072,GLOBL,41096,1514316.81,1090477.96
RADIOLOGY,72074,TOTAL,20637,416654.57,311768.55
RADIOLOGY,72074,26,14413,162992.76,121732.84
RADIOLOGY,72074,TC,1930,60562.48,46596.23
RADIOLOGY,72074,GLOBL,4294,193099.33,143439.48
RADIOLOGY,72080,TOTAL,45484,1046275.04,778300.16
RADIOLOGY,72080,26,21766,253338.94,190890.68
RADIOLOGY,72080,TC,2486,55255.57,39345.8
RADIOLOGY,72080,GLOBL,21232,737680.53,548063.68
RADIOLOGY,72090,TOTAL,14369,438701.18,325633.8
RADIOLOGY,72090,26,7705,122923.46,91266.53
RADIOLOGY,72090,TC,263,8118.29,5596.94
RADIOLOGY,72090,GLOBL,6401,307659.43,228770.33
RADIOLOGY,72100,TOTAL,1959352,46436673.35,34277051.99
RADIOLOGY,72100,26,1012568,11807158.76,8811882.22
RADIOLOGY,72100,TC,134483,3482641.4,2524786.99
RADIOLOGY,72100,GLOBL,812301,31146873.19,22940382.78
RADIOLOGY,72110,TOTAL,977155,30059881.76,21931675.85
RADIOLOGY,72110,26,565795,9096382.34,6684605
RADIOLOGY,72110,TC,64389,2308649.65,1658509.8
RADIOLOGY,72110,GLOBL,346971,18654849.77,13588561.05
RADIOLOGY,72114,TOTAL,105134,5176763.03,3892145.57
RADIOLOGY,72114,26,41254,785360.14,589589.88
RADIOLOGY,72114,TC,6669,330937.71,247104.11
RADIOLOGY,72114,GLOBL,57211,4060465.18,3055451.58
RADIOLOGY,72120,TOTAL,25969,943979.88,704255.08
RADIOLOGY,72120,26,8199,96636.48,72726.29
RADIOLOGY,72120,TC,1603,55252.32,39974.89
RADIOLOGY,72120,GLOBL,16167,792091.08,591553.9
RADIOLOGY,72125,TOTAL,669045,46039442.69,35418485.87
RADIOLOGY,72125,26,637594,38223054.14,29364735.93
RADIOLOGY,72125,TC,6109,1147451.27,888130.98
RADIOLOGY,72125,GLOBL,25342,6668937.28,5165618.96
RADIOLOGY,72126,TOTAL,19787,1940553.16,1502236.91
RADIOLOGY,72126,26,16560,1026802.29,794881.79
RADIOLOGY,72126,TC,583,132846.22,103334.16
RADIOLOGY,72126,GLOBL,2644,780904.65,604020.96
RADIOLOGY,72127,TOTAL,1983,303882.51,237425.99
RADIOLOGY,72127,26,1373,88866.07,69307.09
RADIOLOGY,72127,TC,73,21356.22,17059.97
RADIOLOGY,72127,GLOBL,537,193660.22,151058.93
RADIOLOGY,72128,TOTAL,97195,7801117.35,6080881.31
RADIOLOGY,72128,26,85641,5111301.9,3983454.23
RADIOLOGY,72128,TC,2309,403578.38,315360.12
RADIOLOGY,72128,GLOBL,9245,2286237.07,1782066.96
RADIOLOGY,72129,TOTAL,11546,967815.69,757748.62
RADIOLOGY,72129,26,10377,648662.54,508310.84
