CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2662,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,71552,GLOBL,2140,1445353.34,1135355.38
RADIOLOGY,71555,TOTAL,7019,1574259.3,1228375.51
RADIOLOGY,71555,26,4942,454577.34,349916.32
RADIOLOGY,71555,TC,198,95697.17,75338.28
RADIOLOGY,71555,GLOBL,1879,1023984.79,803120.91
RADIOLOGY,72010,TOTAL,39405,2523469.26,1826704.82
RADIOLOGY,72010,26,7392,170152.26,126436
RADIOLOGY,72010,TC,2845,141739.72,104183.27
RADIOLOGY,72010,GLOBL,29168,2211577.28,1596085.55
RADIOLOGY,72020,TOTAL,229860.1,2665759.38,2025058.68
RADIOLOGY,72020,26,173089.1,1360206.62,1046195.98
RADIOLOGY,72020,TC,14535,276161.7,215590.28
RADIOLOGY,72020,GLOBL,42236,1029391.06,763272.42
RADIOLOGY,72040,TOTAL,628081,15164366.38,11138852.66
RADIOLOGY,72040,26,330845,3920431.73,2916089.04
RADIOLOGY,72040,TC,39762,1070791.87,764500.42
RADIOLOGY,72040,GLOBL,257474,10173142.78,7458263.2
RADIOLOGY,72050,TOTAL,490958,14707524.71,10576365.38
RADIOLOGY,72050,26,298491,4767429.03,3453107.32
RADIOLOGY,72050,TC,29695,1083271.32,759831.7
RADIOLOGY,72050,GLOBL,162772,8856824.36,6363426.36
RADIOLOGY,72052,TOTAL,100976,4468906.37,3283283.47
RADIOLOGY,72052,26,46766,863726.1,634701.83
RADIOLOGY,72052,TC,7876,378904.38,272192.53
RADIOLOGY,72052,GLOBL,46334,3226275.89,2376389.11
RADIOLOGY,72069,TOTAL,18780.2,422066.25,312642.14
RADIOLOGY,72069,26,10920.2,129830.46,95881.85
RADIOLOGY,72069,TC,659,16720.48,12091.9
RADIOLOGY,72069,GLOBL,7201,275515.31,204668.39
RADIOLOGY,72070,TOTAL,362748.7,7507751.38,5561685.34
RADIOLOGY,72070,26,204265,2305737.88,1722788.84
RADIOLOGY,72070,TC,25893.7,584946.55,424621.03
RADIOLOGY,72070,GLOBL,132590,4617066.95,3414275.47
RADIOLOGY,72072,TOTAL,226785,3784555.14,2743388.9
RADIOLOGY,72072,26,173420,1881672.09,1385395.85
RADIOLOGY,72072,TC,11895,313842.4,220757.37
RADIOLOGY,72072,GLOBL,41470,1589040.65,1137235.68
RADIOLOGY,72074,TOTAL,21207,435377.3,323687.11
RADIOLOGY,72074,26,14851,161806.49,119324.7
RADIOLOGY,72074,TC,1668,55534.34,42448.71
RADIOLOGY,72074,GLOBL,4688,218036.47,161913.7
RADIOLOGY,72080,TOTAL,46368,1111472.28,823462.37
RADIOLOGY,72080,26,23035,273225.85,204999.29
RADIOLOGY,72080,TC,2410,59432.22,42290.2
RADIOLOGY,72080,GLOBL,20923,778814.21,576172.88
RADIOLOGY,72090,TOTAL,15042,497302.01,371747.51
RADIOLOGY,72090,26,7613,121038.3,89491.94
RADIOLOGY,72090,TC,313,10747.57,8010.88
RADIOLOGY,72090,GLOBL,7116,365516.14,274244.69
RADIOLOGY,72100,TOTAL,1992943.4,49959753.51,36674450.9
RADIOLOGY,72100,26,1041224,12359485.04,9163334.09
RADIOLOGY,72100,TC,129169.4,3683508.54,2640880.76
RADIOLOGY,72100,GLOBL,822550,33916759.93,24870236.05
RADIOLOGY,72110,TOTAL,981860.8,31728889.18,23024406.58
RADIOLOGY,72110,26,568036,9101461.47,6641620.03
RADIOLOGY,72110,TC,63502.7,2514079.07,1792156.76
RADIOLOGY,72110,GLOBL,350322.1,20113348.64,14590629.79
RADIOLOGY,72114,TOTAL,112759,5965010.12,4468253.7
RADIOLOGY,72114,26,43769,835424.26,623655.9
RADIOLOGY,72114,TC,6961,383027.11,283860.26
RADIOLOGY,72114,GLOBL,62029,4746558.75,3560737.54
RADIOLOGY,72120,TOTAL,25009,984690.63,733599.44
RADIOLOGY,72120,26,7808,93698.44,70591.52
RADIOLOGY,72120,TC,1428,55086.9,39525.66
RADIOLOGY,72120,GLOBL,15773,835905.29,623482.26
RADIOLOGY,72125,TOTAL,752364.6,44578972.68,34079168.49
RADIOLOGY,72125,26,720440.2,37055213.79,28251401.47
RADIOLOGY,72125,TC,6030,1098524.56,849393.86
RADIOLOGY,72125,GLOBL,25894.4,6425234.33,4978373.16
RADIOLOGY,72126,TOTAL,20141,1911415.84,1481348.17
RADIOLOGY,72126,26,16986,1026469.33,795108.97
RADIOLOGY,72126,TC,508,116653.59,91092.79
RADIOLOGY,72126,GLOBL,2647,768292.92,595146.41
RADIOLOGY,72127,TOTAL,2076,311788.52,243023.31
RADIOLOGY,72127,26,1427,90426.84,69791.31
RADIOLOGY,72127,TC,86,23980.6,18880.58
RADIOLOGY,72127,GLOBL,563,197381.08,154351.42
RADIOLOGY,72128,TOTAL,106803.7,7419249.9,5763674.26
RADIOLOGY,72128,26,95248,4881029.13,3782430.07
RADIOLOGY,72128,TC,2165,365769.46,285556.1
RADIOLOGY,72128,GLOBL,9390.7,2172451.31,1695688.09
RADIOLOGY,72129,TOTAL,12611,1063661.33,833974.3
RADIOLOGY,72129,26,11388,695521.73,544136.08
