,,Medicare Part B Physician/Supplier BESS Data,,,
,,For Calendar Year 2008,,,
,,Code Ranges 20000 - 29999,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,"1,175","$777,479.85 ","$617,660.85 "
,TOTAL,,"1,186","$783,663.41 ","$622,552.89 "
21026,SG,,12,"$7,247.67 ","$5,798.12 "
,OTHER,,538,"$193,002.11 ","$151,980.80 "
,TOTAL,,550,"$200,249.78 ","$157,778.92 "
21029,AS,,1,$77.77 ,$62.22 
,SG,,6,"$4,821.57 ","$3,857.26 "
,80'S,,1,$82.90 ,$66.32 
,OTHER,,129,"$67,698.37 ","$53,681.31 "
,TOTAL,,137,"$72,680.61 ","$57,667.11 "
21030,SG,,15,"$3,173.36 ","$2,538.70 "
,OTHER,,"1,079","$381,550.15 ","$299,233.80 "
,TOTAL,,"1,094","$384,723.51 ","$301,772.50 "
21031,SG,,5,$948.66 ,$758.93 
,OTHER,,672,"$167,331.59 ","$129,439.77 "
,TOTAL,,677,"$168,280.25 ","$130,198.70 "
21032,SG,,2,$412.47 ,$329.97 
,OTHER,,257,"$71,524.69 ","$55,761.07 "
,TOTAL,,259,"$71,937.16 ","$56,091.04 "
21034,AS,,3,$365.83 ,$292.67 
,SG,,2,"$1,076.08 ",$860.86 
,80'S,,9,"$1,450.22 ","$1,160.18 "
,OTHER,,140,"$120,383.41 ","$96,242.61 "
,TOTAL,,154,"$123,275.54 ","$98,556.32 "
21040,SG,,6,"$3,227.66 ","$2,582.12 "
,OTHER,,"1,266","$489,621.76 ","$383,771.73 "
,TOTAL,,"1,272","$492,849.42 ","$386,353.85 "
21044,AS,,4,$272.22 ,$217.76 
,80'S,,26,"$2,774.46 ","$2,219.55 "
,OTHER,,260,"$157,756.40 ","$125,016.59 "
,TOTAL,,290,"$160,803.08 ","$127,453.90 "
21045,AS,,2,$293.04 ,$234.43 
,80'S,,36,"$4,251.43 ","$3,401.20 "
,OTHER,,302,"$229,105.00 ","$180,034.82 "
,TOTAL,,340,"$233,649.47 ","$183,670.45 "
21046,SG,,1,$813.41 ,$650.73 
,80'S,,1,$158.64 ,$126.91 
,OTHER,,454,"$385,051.90 ","$304,034.88 "
,TOTAL,,456,"$386,023.95 ","$304,812.52 "
21047,AS,,1,$108.19 ,$86.55 
,80'S,,11,"$1,814.13 ","$1,451.29 "
,OTHER,,94,"$95,744.72 ","$76,355.30 "
,TOTAL,,106,"$97,667.04 ","$77,893.14 "
21048,OTHER,,209,"$186,770.86 ","$147,435.99 "
,TOTAL,,209,"$186,770.86 ","$147,435.99 "
21049,80'S,,2,$383.09 ,$306.47 
,OTHER,,28,"$29,840.41 ","$23,869.02 "
,TOTAL,,30,"$30,223.50 ","$24,175.49 "
21050,OTHER,,9,"$5,841.16 ","$4,672.92 "
,TOTAL,,9,"$5,841.16 ","$4,672.92 "
21060,80'S,,2,$219.46 ,$175.56 
,OTHER,,15,"$8,164.17 ","$6,531.33 "
,TOTAL,,17,"$8,383.63 ","$6,706.89 "
21070,OTHER,,63,"$28,001.05 ","$22,400.84 "
,TOTAL,,63,"$28,001.05 ","$22,400.84 "
21073,OTHER,,48,"$12,948.52 ","$10,295.30 "
,TOTAL,,48,"$12,948.52 ","$10,295.30 "
21076,OTHER,,456,"$391,545.40 ","$312,188.18 "
,TOTAL,,456,"$391,545.40 ","$312,188.18 "
21077,OTHER,,36,"$78,143.82 ","$60,380.89 "
,TOTAL,,36,"$78,143.82 ","$60,380.89 "
21079,OTHER,,461,"$664,458.17 ","$520,140.60 "
,TOTAL,,461,"$664,458.17 ","$520,140.60 "
21080,OTHER,,435,"$708,670.28 ","$562,042.01 "
,TOTAL,,435,"$708,670.28 ","$562,042.01 "
21081,OTHER,,215,"$323,227.39 ","$255,739.21 "
,TOTAL,,215,"$323,227.39 ","$255,739.21 "
21082,AS,,1,$85.83 ,$68.66 
,OTHER,,86,"$111,222.30 ","$88,155.51 "
,TOTAL,,87,"$111,308.13 ","$88,224.17 "
21083,OTHER,,58,"$79,811.16 ","$63,729.09 "
,TOTAL,,58,"$79,811.16 ","$63,729.09 "
21084,OTHER,,76,"$109,245.20 ","$86,953.42 "
,TOTAL,,76,"$109,245.20 ","$86,953.42 "
21085,OTHER,,"1,663","$956,824.63 ","$757,244.78 "
,TOTAL,,"1,663","$956,824.63 ","$757,244.78 "
21086,OTHER,,197,"$319,353.62 ","$254,995.17 "
,TOTAL,,197,"$319,353.62 ","$254,995.17 "
21087,OTHER,,158,"$239,625.13 ","$190,342.21 "
,TOTAL,,158,"$239,625.13 ","$190,342.21 "
21088,OTHER,,235,"$815,310.98 ","$649,927.63 "
,TOTAL,,235,"$815,310.98 ","$649,927.63 "
21089,OTHER,,778,"$702,112.75 ","$559,507.26 "
,TOTAL,,778,"$702,112.75 ","$559,507.26 "
21100,OTHER,,10,$541.35 ,$433.08 
,TOTAL,,10,$541.35 ,$433.08 
21110,80'S,,1,$80.39 ,$64.31 
,OTHER,,800,"$452,948.07 ","$359,356.59 "
,TOTAL,,801,"$453,028.46 ","$359,420.90 "
21116,OTHER,,94,"$10,037.60 ","$7,690.66 "
,TOTAL,,94,"$10,037.60 ","$7,690.66 "
21120,OTHER,,7,"$2,639.01 ","$2,111.21 "
,TOTAL,,7,"$2,639.01 ","$2,111.21 "
21121,OTHER,,4,"$1,372.93 ","$1,098.35 "
,TOTAL,,4,"$1,372.93 ","$1,098.35 "
21123,OTHER,,1,$361.79 ,$289.43 
,TOTAL,,1,$361.79 ,$289.43 
21125,OTHER,,8,"$6,082.07 ","$4,865.64 "
,TOTAL,,8,"$6,082.07 ","$4,865.64 "
21127,OTHER,,2,"$1,145.66 ",$916.53 
,TOTAL,,2,"$1,145.66 ",$916.53 
21137,OTHER,,1,$351.33 ,$281.06 
,TOTAL,,1,$351.33 ,$281.06 
21138,80'S,,8,$539.76 ,$431.84 
,OTHER,,19,"$11,023.67 ","$8,818.92 "
,TOTAL,,27,"$11,563.43 ","$9,250.76 "
21141,80'S,,3,$487.88 ,$390.30 
,OTHER,,24,"$21,689.78 ","$16,768.66 "
,TOTAL,,27,"$22,177.66 ","$17,158.96 "
21142,OTHER,,2,$652.68 ,$522.14 
,TOTAL,,2,$652.68 ,$522.14 
21143,OTHER,,1,"$1,227.80 ",$982.24 
,TOTAL,,1,"$1,227.80 ",$982.24 
21145,OTHER,,6,"$8,315.21 ","$6,544.17 "
,TOTAL,,6,"$8,315.21 ","$6,544.17 "
21146,OTHER,,1,"$1,328.67 ","$1,062.94 "
,TOTAL,,1,"$1,328.67 ","$1,062.94 "
21147,OTHER,,2,"$2,892.31 ","$2,205.85 "
,TOTAL,,2,"$2,892.31 ","$2,205.85 "
21151,OTHER,,2,"$3,226.42 ","$2,581.14 "
,TOTAL,,2,"$3,226.42 ","$2,581.14 "
21154,80'S,,1,$342.55 ,$274.04 
,OTHER,,2,"$4,186.22 ","$3,348.98 "
,TOTAL,,3,"$4,528.77 ","$3,623.02 "
21155,OTHER,,1,"$2,121.33 ","$1,697.06 "
,TOTAL,,1,"$2,121.33 ","$1,697.06 "
21159,OTHER,,1,"$2,367.80 ","$1,894.24 "
,TOTAL,,1,"$2,367.80 ","$1,894.24 "
21172,AS,,2,$213.14 ,$170.52 
,80'S,,11,"$1,784.45 ","$1,427.58 "
,OTHER,,47,"$58,102.83 ","$45,914.60 "
