,,,Medicare Part B Physician/Supplier BESS Data,,,,,,,,
,,,For Calendar Year 2008,,,,,,,,
,,,Code Ranges 00100 - 01999,,,,,,,,
,,,,,,,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,,,,
,QZ,,194,"$44,764.29 ","$35,503.58 ",,,,,,
,OTHER,,588,"$77,702.67 ","$61,707.53 ",,,,,,
,TOTAL,,"2,099","$388,074.98 ","$306,984.46 ",,,,,,
00472,AA,,92,"$40,227.68 ","$31,966.33 ",,,,,,
,AD,,1,$79.88 ,$63.90 ,,,,,,
,QK,,85,"$20,119.31 ","$15,932.68 ",,,,,,
,QZ,,17,"$6,916.18 ","$5,506.91 ",,,,,,
,OTHER,,85,"$19,118.61 ","$15,264.34 ",,,,,,
,TOTAL,,280,"$86,461.66 ","$68,734.16 ",,,,,,
00474,AA,,51,"$28,022.29 ","$22,417.83 ",,,,,,
,AD,,1,$78.48 ,,,,,,,
,QK,,42,"$12,334.18 ","$9,867.33 ",,,,,,
,QZ,,9,"$4,270.06 ","$3,416.04 ",,,,,,
,OTHER,,45,"$11,576.91 ","$9,261.53 ",,,,,,
,TOTAL,,148,"$56,281.92 ","$44,962.73 ",,,,,,
0048T,OTHER,,24,"$20,968.58 ","$16,072.59 ",,,,,,
,TOTAL,,24,"$20,968.58 ","$16,072.59 ",,,,,,
0050T,OTHER,,9,"$3,701.68 ","$2,599.54 ",,,,,,
,TOTAL,,9,"$3,701.68 ","$2,599.54 ",,,,,,
00500,AA,,"1,225","$860,098.09 ","$683,593.05 ",,,,,,
,AD,,19,"$1,370.17 ","$1,096.13 ",,,,,,
,QK,,"1,402","$549,129.23 ","$437,245.95 ",,,,,,
,QZ,,554,"$231,417.13 ","$182,911.18 ",,,,,,
,OTHER,,"1,224","$392,523.61 ","$313,205.82 ",,,,,,
,TOTAL,,"4,424","$2,034,538.23 ","$1,618,052.13 ",,,,,,
0051T,OTHER,,2,"$4,326.76 ","$3,461.41 ",,,,,,
,TOTAL,,2,"$4,326.76 ","$3,461.41 ",,,,,,
00520,AA,,"18,365","$3,667,750.24 ","$2,908,481.22 ",,,,,,
,AD,,216,"$16,696.43 ","$13,185.77 ",,,,,,
,QK,,"17,187","$1,754,555.94 ","$1,389,115.14 ",,,,,,
,QZ,,"8,794","$1,626,365.34 ","$1,289,148.62 ",,,,,,
,OTHER,,"21,265","$2,116,699.64 ","$1,679,197.90 ",,,,,,
,TOTAL,,"65,827","$9,182,067.59 ","$7,279,128.65 ",,,,,,
00522,AA,,197,"$34,679.97 ","$27,647.46 ",,,,,,
,AD,,5,$687.60 ,$550.07 ,,,,,,
,QK,,207,"$19,009.95 ","$14,855.57 ",,,,,,
,QZ,,140,"$24,005.86 ","$18,980.84 ",,,,,,
,OTHER,,329,"$28,802.84 ","$22,892.21 ",,,,,,
,TOTAL,,878,"$107,186.22 ","$84,926.15 ",,,,,,
00524,AA,,266,"$42,249.47 ","$33,499.80 ",,,,,,
,AD,,5,$370.59 ,$296.48 ,,,,,,
,QK,,209,"$18,144.45 ","$14,437.20 ",,,,,,
,QZ,,156,"$22,750.02 ","$18,006.12 ",,,,,,
,OTHER,,295,"$25,660.64 ","$20,377.83 ",,,,,,
,TOTAL,,931,"$109,175.17 ","$86,617.43 ",,,,,,
