Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 50010 - 53899,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
,TOTAL,,14,"$6,761.55 ","$5,409.22 "
50980,SG,,1,$349.70 ,$279.76 
,OTHER,,43,"$13,876.78 ","$11,013.46 "
,TOTAL,,44,"$14,226.48 ","$11,293.22 "
51000,OTHER,,227,"$15,653.71 ","$11,855.31 "
,TOTAL,,227,"$15,653.71 ","$11,855.31 "
51005,OTHER,,550,"$50,239.66 ","$39,420.29 "
,TOTAL,,550,"$50,239.66 ","$39,420.29 "
51010,SG,,357,"$92,487.78 ","$72,978.16 "
,OTHER,,"15,304","$2,878,285.09 ","$2,275,277.82 "
,TOTAL,,"15,661","$2,970,772.87 ","$2,348,255.98 "
51020,SG,,12,"$7,220.63 ","$5,776.51 "
,80'S,,20,$833.09 ,$666.48 
,OTHER,,182,"$61,409.39 ","$48,461.71 "
,TOTAL,,214,"$69,463.11 ","$54,904.70 "
51030,80'S,,1,$32.96 ,$26.37 
,OTHER,,30,"$3,078.33 ","$2,462.67 "
,TOTAL,,31,"$3,111.29 ","$2,489.04 "
51040,SG,,202,"$124,055.39 ","$99,000.22 "
,80'S,,363,"$11,915.26 ","$9,493.80 "
,OTHER,,"6,807","$1,622,130.83 ","$1,283,851.44 "
,TOTAL,,"7,372","$1,758,101.48 ","$1,392,345.46 "
51045,SG,,24,"$14,798.12 ","$11,785.50 "
,80'S,,52,"$2,297.05 ","$1,809.56 "
,OTHER,,731,"$234,801.01 ","$186,493.84 "
,TOTAL,,807,"$251,896.18 ","$200,088.90 "
51050,SG,,24,"$14,311.64 ","$11,449.31 "
,80'S,,165,"$8,921.95 ","$7,103.36 "
,OTHER,,"1,215","$418,290.93 ","$329,197.50 "
,TOTAL,,"1,404","$441,524.52 ","$347,750.17 "
51060,80'S,,2,$164.85 ,$131.88 
,OTHER,,9,"$4,129.43 ","$3,303.54 "
,TOTAL,,11,"$4,294.28 ","$3,435.42 "
51065,SG,,2,"$1,251.14 ","$1,000.91 "
,80'S,,3,$238.23 ,$190.58 
,OTHER,,126,"$57,496.18 ","$44,895.82 "
,TOTAL,,131,"$58,985.55 ","$46,087.31 "
51080,80'S,,12,$482.55 ,$386.04 
,OTHER,,86,"$24,305.50 ","$19,242.79 "
,TOTAL,,98,"$24,788.05 ","$19,628.83 "
51500,SG,,3,"$1,837.46 ","$1,469.96 "
,80'S,,11,$695.13 ,$556.11 
,OTHER,,67,"$30,335.79 ","$24,092.61 "
,TOTAL,,81,"$32,868.38 ","$26,118.68 "
51520,SG,,1,$730.40 ,$584.32 
,80'S,,7,$511.05 ,$408.83 
,OTHER,,40,"$19,598.56 ","$15,222.59 "
,TOTAL,,48,"$20,840.01 ","$16,215.74 "
51525,80'S,,139,"$15,168.22 ","$12,134.53 "
,OTHER,,328,"$215,562.53 ","$171,323.31 "
,TOTAL,,467,"$230,730.75 ","$183,457.84 "
51530,80'S,,35,"$2,804.19 ","$2,210.70 "
,OTHER,,143,"$74,420.80 ","$59,280.29 "
,TOTAL,,178,"$77,224.99 ","$61,490.99 "
51535,80'S,,12,"$1,025.21 ",$820.17 
,OTHER,,99,"$62,422.13 ","$49,704.24 "
,TOTAL,,111,"$63,447.34 ","$50,524.41 "
51550,80'S,,314,"$38,738.17 ","$30,869.28 "
,OTHER,,942,"$681,172.15 ","$540,181.87 "
,TOTAL,,"1,256","$719,910.32 ","$571,051.15 "
51555,80'S,,218,"$39,324.34 ","$31,351.35 "
,OTHER,,593,"$628,447.43 ","$499,508.23 "
,TOTAL,,811,"$667,771.77 ","$530,859.58 "
51565,80'S,,47,"$8,659.01 ","$6,927.22 "
,OTHER,,132,"$150,558.05 ","$117,241.39 "
,TOTAL,,179,"$159,217.06 ","$124,168.61 "
51570,80'S,,54,"$11,025.79 ","$8,820.66 "
,OTHER,,151,"$180,817.09 ","$143,594.08 "
,TOTAL,,205,"$191,842.88 ","$152,414.74 "
51575,80'S,,107,"$27,945.69 ","$22,333.65 "
,OTHER,,294,"$493,226.20 ","$393,126.92 "
,TOTAL,,401,"$521,171.89 ","$415,460.57 "
51580,80'S,,8,"$2,156.49 ","$1,725.19 "
,OTHER,,25,"$40,510.61 ","$32,332.94 "
,TOTAL,,33,"$42,667.10 ","$34,058.13 "
51585,80'S,,13,"$4,006.13 ","$3,204.90 "
,OTHER,,39,"$70,560.00 ","$56,427.26 "
,TOTAL,,52,"$74,566.13 ","$59,632.16 "
51590,80'S,,492,"$140,108.04 ","$110,727.69 "
,OTHER,,"1,136","$1,888,611.99 ","$1,500,534.71 "
,TOTAL,,"1,628","$2,028,720.03 ","$1,611,262.40 "
51595,80'S,,"1,248","$402,194.40 ","$320,462.69 "
,OTHER,,"2,979","$5,781,281.98 ","$4,603,613.37 "
,TOTAL,,"4,227","$6,183,476.38 ","$4,924,076.06 "
51596,80'S,,223,"$77,455.72 ","$61,876.50 "
,OTHER,,669,"$1,401,258.79 ","$1,112,693.30 "
,TOTAL,,892,"$1,478,714.51 ","$1,174,569.80 "
51597,80'S,,171,"$57,549.88 ","$45,624.13 "
,OTHER,,419,"$831,744.10 ","$660,250.87 "
,TOTAL,,590,"$889,293.98 ","$705,875.00 "
51600,OTHER,,"35,012","$2,722,326.49 ","$2,131,336.71 "
,TOTAL,,"35,012","$2,722,326.49 ","$2,131,336.71 "
51605,OTHER,,193,"$12,005.13 ","$9,556.78 "
,TOTAL,,193,"$12,005.13 ","$9,556.78 "
