Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - L0100 - L4398,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
L3845,TOTAL,,"1,811","$112,290.31 ","$88,210.09 "
L3850,TOTAL,,247,"$19,291.99 ","$15,113.46 "
L3855,TOTAL,,506,"$48,908.10 ","$38,952.96 "
L3860,TOTAL,,675,"$73,804.04 ","$58,450.08 "
L3900,TOTAL,,467,"$239,544.06 ","$187,704.83 "
L3901,TOTAL,,152,"$169,747.30 ","$134,879.00 "
L3904,TOTAL,,107,"$172,621.06 ","$138,074.17 "
L3906,TOTAL,,"7,038","$1,244,860.30 ","$984,413.27 "
L3907,TOTAL,,"6,478","$1,203,964.46 ","$945,340.52 "
L3908,TOTAL,,"212,579","$9,185,521.98 ","$7,085,492.78 "
L3909,TOTAL,,"3,070","$31,491.41 ","$23,769.67 "
L3910,TOTAL,,"1,374","$394,239.92 ","$313,822.00 "
L3911,TOTAL,,"1,902","$33,684.38 ","$25,874.93 "
L3912,TOTAL,,"7,944","$573,236.81 ","$454,345.44 "
L3914,TOTAL,,"56,045","$3,200,302.72 ","$2,481,538.04 "
L3916,TOTAL,,"3,491","$325,405.89 ","$253,911.73 "
L3917,TOTAL,,444,"$31,720.94 ","$25,205.98 "
L3918,TOTAL,,511,"$24,931.51 ","$19,392.87 "
L3920,TOTAL,,72,"$4,708.57 ","$3,705.97 "
L3922,TOTAL,,146,"$10,219.83 ","$8,082.24 "
L3923,TOTAL,,"7,288","$190,391.99 ","$147,476.62 "
L3924,TOTAL,,"1,061","$88,263.67 ","$67,629.80 "
L3926,TOTAL,,85,"$6,030.41 ","$4,685.57 "
L3928,TOTAL,,"1,934","$76,646.83 ","$59,848.18 "
L3930,TOTAL,,"8,668","$420,631.70 ","$327,973.05 "
L3932,TOTAL,,"1,154","$40,759.61 ","$31,877.58 "
L3934,TOTAL,,"6,868","$251,155.07 ","$198,338.98 "
L3936,TOTAL,,"2,429","$146,624.69 ","$113,488.89 "
L3938,TOTAL,,"3,371","$207,108.32 ","$161,423.82 "
