CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-325,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
EVALUATION AND MANAGEMENT,99455,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99456,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99456,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99460,,N/A,799.5,551.48,,,
EVALUATION AND MANAGEMENT,99460,TOTAL,N/A,799.5,551.48,,,
EVALUATION AND MANAGEMENT,99461,,N/A,204.23,110.16,,,
EVALUATION AND MANAGEMENT,99461,TOTAL,N/A,204.23,110.16,,,
EVALUATION AND MANAGEMENT,99462,,N/A,40.97,32.119999999999997,,,
EVALUATION AND MANAGEMENT,99462,TOTAL,N/A,40.97,32.119999999999997,,,
EVALUATION AND MANAGEMENT,99463,,N/A,136,74.08,,,
EVALUATION AND MANAGEMENT,99463,TOTAL,N/A,136,74.08,,,
EVALUATION AND MANAGEMENT,99464,,N/A,55,43.12,,,
EVALUATION AND MANAGEMENT,99464,TOTAL,N/A,55,43.12,,,
EVALUATION AND MANAGEMENT,99465,,N/A,152.24,119.35,,,
EVALUATION AND MANAGEMENT,99465,TOTAL,N/A,152.24,119.35,,,
EVALUATION AND MANAGEMENT,99466,,N/A,715.2,560.71,,,
EVALUATION AND MANAGEMENT,99466,TOTAL,N/A,715.2,560.71,,,
EVALUATION AND MANAGEMENT,99467,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99467,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99468,,N/A,4528.8500000000004,3550.62,,,
EVALUATION AND MANAGEMENT,99468,TOTAL,N/A,4528.8500000000004,3550.62,,,
EVALUATION AND MANAGEMENT,99469,,N/A,1045.1099999999999,819.37,,,
EVALUATION AND MANAGEMENT,99469,TOTAL,N/A,1045.1099999999999,819.37,,,
EVALUATION AND MANAGEMENT,99471,,20,17187.310000000001,13277.46,,,
EVALUATION AND MANAGEMENT,99471,TOTAL,20,17187.310000000001,13277.46,,,
EVALUATION AND MANAGEMENT,99472,,140,58832.39,46014.78,,,
EVALUATION AND MANAGEMENT,99472,TOTAL,140,58832.39,46014.78,,,
EVALUATION AND MANAGEMENT,99475,,88,51481.77,39862.42,,,
EVALUATION AND MANAGEMENT,99475,TOTAL,88,51481.77,39862.42,,,
EVALUATION AND MANAGEMENT,99476,,447,158891.28,123875.74,,,
EVALUATION AND MANAGEMENT,99476,TOTAL,447,158891.28,123875.74,,,
EVALUATION AND MANAGEMENT,99477,,N/A,1053.51,825.96,,,
EVALUATION AND MANAGEMENT,99477,TOTAL,N/A,1053.51,825.96,,,
EVALUATION AND MANAGEMENT,99478,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99478,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99479,,N/A,487.52,382.2,,,
EVALUATION AND MANAGEMENT,99479,TOTAL,N/A,487.52,382.2,,,
EVALUATION AND MANAGEMENT,99480,,N/A,989.91,672.72,,,
EVALUATION AND MANAGEMENT,99480,TOTAL,N/A,989.91,672.72,,,
EVALUATION AND MANAGEMENT,99485,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99485,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99486,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99486,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99487,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99487,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99488,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99488,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99489,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99489,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99490,,996162.3,40672014.520000003,31299145.039999999,,,
EVALUATION AND MANAGEMENT,99490,TOTAL,996162.3,40672014.520000003,31299145.039999999,,,
EVALUATION AND MANAGEMENT,99495,,383224,60283939.560000002,45958553.439999998,,,
EVALUATION AND MANAGEMENT,99495,TOTAL,383224,60283939.560000002,45958553.439999998,,,
EVALUATION AND MANAGEMENT,99496,,339850.1,75720957.900000006,58292625.159999996,,,
EVALUATION AND MANAGEMENT,99496,TOTAL,339850.1,75720957.900000006,58292625.159999996,,,
EVALUATION AND MANAGEMENT,99497,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99497,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99498,,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99498,TOTAL,N/A,0,0,,,
EVALUATION AND MANAGEMENT,99499,,1416,174300.52,133218.98000000001,,,
EVALUATION AND MANAGEMENT,99499,TOTAL,1416,174300.52,133218.98000000001,,,
"
“N/A” means that the data cannot be disclosed due to Privacy rules.",,,,,,,,
